label,address,category,eth_balance
TopHolder #062,0xd290d11de499d364be82bf6eb308e377142180d1,TopHolder,139.85892670989625
TopHolder #063,0xf7a0b15f08bde575cb75d86d54531d9e07ab4047,TopHolder,0.0415
TopHolder #064,0x000000000000000000000000000000000000dead,TopHolder,12625.64295064181
TopHolder #065,0xdc919fe73d8fcf93fc74e71eda5a3e60ab7ed2a6,TopHolder,0.14954410116827255
TopHolder #066,0x75114f00928113880ffa0034647ee8df6a79b958,TopHolder,0.0
TopHolder #067,0xb432863b3857f1cd9d78f5856a8d20693a8bc1a0,TopHolder,78.81702450470533
TopHolder #068,0x579e5e1811b98cf608934ab6185d120c92fcbe7a,TopHolder,0.15686743151161409
TopHolder #069,0x0d0707963952f2fba59dd06f2b425ace40b492fe,TopHolder,14481.189642635449
TopHolder #070,0x8c24a6466aeee75e1cb3212bdae904fc260a492a,TopHolder,1.087793364080882
TopHolder #071,0x6d7f81fd14dca44fe0fe97ba80fb0ef5cfc0e9f8,TopHolder,0.001389166786138501
TopHolder #072,0x9a14aec27b873f59379c39b3e5241d5c6596f299,TopHolder,0.2049849698551401
TopHolder #073,0x4345c538e51a76dcde966d84743f05681af50141,TopHolder,0.022763874799647112
TopHolder #074,0x1070bc019b758a989d44c4ea161a756f2f66ff09,TopHolder,0.24427055831224576
TopHolder #075,0x5308c6d2581f6f33fe01e557d35d2bf3756f1e64,TopHolder,0.0
TopHolder #076,0x3aeeaee2ecff831b91a28375443dc6dcbb6f7d2d,TopHolder,0.0411629670528114
TopHolder #077,0xb7b63e238453f4dcbbe0b394b9361f2b9f683649,TopHolder,0.003018098123668907
TopHolder #078,0xec2b64f496060a86c4c021e979b662b4cb07fa53,TopHolder,0.17626721678540627
TopHolder #079,0xb09ac0f12b55ee5b2c0dd8c69a7b7fc1cae2dae1,TopHolder,0.2623160728006123
TopHolder #080,0x7fbabb1dd5a4aee41c273178cd98d702c23ad4d6,TopHolder,0.003462257500601503
TopHolder #081,0x39ed671ab729138e72ad218f493295078990021c,TopHolder,205.09065951176115
